word,pos,ipa,meaning,image,definition
provision,/n/,/prəˈvɪʒn̩/,điều khoản; đồ dự phòng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456769/anki_600/luqv9aveuqeuwmx4ta6d.jpg,"n., a measure taken beforehand; a stipulation the act of considering the need for something and arranging for it; a statement in an agreement or a law that a particular thing must happen or be done"
resolve,/v/,/rɪˈzɒlv/,quyết tâm,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456770/anki_600/nvzjzcrdo5ajafuhp0r3.jpg,"v., to deal with successfully; to declare; (noun means conviction) to solve or end a problem or difficulty; to make a determined decision; strong determination (decision)."
specific,/adj/,/spi'sifik/,chỉ rõ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456771/anki_600/mpgfvdxkvyvjg56h4jci.jpg,"adj., particular relating to one thing and not others; particular; clear and exact;"
engagement,/n/,&nbsp;/in'geidʒmənt/,sự hứa hẹn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456772/anki_600/vkd0z5bbmlpmnhnnhka7.jpg,an agreement to marry someone; an arrangement to meet someone or do something at a particular time;
attract,/v/,/əˈtrækt/,thu hút,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456773/anki_600/jdb6jvr2gvp9d0rguglf.jpg,to cause a person or animal to become interested in someone or something;
compare,/v/,/kəmˈpeə/,so sánh,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456774/anki_600/vlutgpc22rxpgw2wtjew.jpg,to examine or look for the differences between persons or things; to consider or suggest that something is similar or equal to something else
competition,/n/,UK ​ /kɒmpəˈtɪʃən/ &nbsp; &nbsp;US ​ /kɑːmpəˈtɪʃən/&nbsp;,sự cạnh tranh; cuộc thi,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456775/anki_600/xroytf8wcmxgyg5qbnaw.jpg,"an activity done by a number of people or organizations, each of which is trying to do better than all of the others"
consume,/v/,/kənˈsjuːm/,dùng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456777/anki_600/d5nfyc623xog7nwkei9o.jpg,"to use up;  to eat or drink, especially a lot of something"
consumer,/n /,/kənˈsjuːmə/,người tiêu dùng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456779/anki_600/upw1mavfthvpqeqaxryw.jpg,a person or organization that uses a commodity or service
productive,/adj/,/prəˈdʌktɪv/,hiệu quả; sản xuất nhiều; màu mỡ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456781/anki_600/vheb9juj2dx22hdic9eb.jpg,causing or providing a good result or a large amount of something
convince,/v/,/kənˈvɪns/,làm cho tin,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456781/anki_600/hfsqqlabtfm5p7q7vi7x.jpg,to cause someone to believe something or to do something; to persuade
currently,/adv/,/'kʌrəntli/,hiện thời,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456782/anki_600/jtjoewfqgm7ax0yaid61.jpg,at the present time; now:
fad,/n/,/fæd/,mốt,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456785/anki_600/ox8xdjmp85alnocxaqnb.jpg,a style or activity that suddenly becomes popular but which usually does not stay popular for very long
inspiration,/n/,/ˌɪnspəˈreɪʃən/,(sự/người/vật) truyền cảm hứng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456788/anki_600/qwn99k0gzgvx8dpdhslm.jpg,someone that people admire and want to be like; a sudden good idea;
market,/n/,/ˈmɑːkɪt/,giá thị trường; tình hình thị trường,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456791/anki_600/nqpnh6sxjhiqzw1wewgn.jpg,"the place of buying and selling a product, the demand for a product"
persuasion,/n/,/pə'sweiʤn/,làm cho tin; thuyết phục; tín ngưỡng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456794/anki_600/v6xk1yvq6nfqqfynnmcl.jpg,the power to influence; a deep conviction or belief
satisfaction,/n/,/,sự hài lòng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456799/anki_600/kujqyoz1n6wc2b57hnya.jpg,the pleasant feeling you get when you receive something you wanted or when you have done something you wanted to do; the condition of having a desire or need fulfilled.
characteristic,/adj/,/ˌkærəktəˈrɪstɪk/,riêng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456801/anki_600/xaeqsguufb1ggrsvj9tm.gif,typical of a person or thing
consequence,/n/,/ˈkɒnsɪkwəns/,hậu quả / hệ quả;&nbsp;tầm quan trọng;,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456803/anki_600/w6kitblau8nzz7nzrpju.jpg,a result of an action or situation; the condition of having a lasting effect; importance
consider,/v/,/kənˈsɪdə/,cân nhắc,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456806/anki_600/dcgtc28icfamjl0nn1l9.jpg,to spend time thinking about a possibility or making a decision; to believe to be; to think of as;
cover,/v/,/ˈkʌvə/,che,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456807/anki_600/vp8ynsnjrwi9futn7ri6.jpg,to put or spread something over something; to protect someone or something from risky event; to deal with or to include
expiration,/n/,/ɪkˈspaɪə/,sự mãn hạn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456809/anki_600/rrdxtmelsxzlfwzhfdy8.jpg,the end of a period of time during which an agreement or official document can be used;
frequently,/adv/,/ˈfriːkwəntli/,thường xuyên,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456812/anki_600/so7xwatysviace9pidos.jpg,"Occurring commonly, widespread"
imply,/v/,/ɪmˈplaɪ/,ý nói; ngụ ý; bao hàm ý,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456818/anki_600/busqcigq4qmmynjhdlpt.png,to suggest something without saying it directly
promise,/v n/,/ˈprɒmɪs/,lời hứa,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456820/anki_600/xojfl84ohwhdgvfwifxx.png,"to pledge to do, bring about, or provide"
protect,/v/,/prəˈtekt/,bảo vệ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456821/anki_600/pbk60a03d6co9vvtkai1.jpg,"to keep someone or something safe from injury, damage, or loss;"
reputation,/n/,/ˌrepjʊˈteɪʃn̩/,tiếng tốt,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456823/anki_600/jamqfepszz7zrbtcsnjm.jpg,"how much respect or admiration someone or something receives, based on past behaviour or character"
require,/v/,/rɪˈkwaɪə/,đòi hỏi,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456824/anki_600/qymxd6juo245kfwiscxp.jpg,"to make it officially necessary for someone do something; to order or demand something, or to order someone to do something, esp. because of a rule or law;"
variety,/n/,/və'raiəti/,đa dạng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456825/anki_600/e3gmbjylghnobxgjstu2.jpg,"many different types of similar things or people; the characteristic of frequently changing, or of including many different types or things;"
coverage,/n/,<div>/ˈkʌv(ə)rɪdʒ/</div>,trị giá bảo hiểm,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456826/anki_600/uxcprfbzqt1ifudls6hy.jpg,"the state or condition of being protected from financial loss, damage, accident, or having something stolen, insurance; the job and responsibility of reporting or writing about a particular subject for television, radio, or a newspaper or magazine"
warranty,/n/,/'wɔrənti/,giấy bảo hành,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456827/anki_600/wkopztpvsneji9f646kq.jpg,a written promise by a company to repair or replace a product that breaks within a fixed period of time or do again a piece of work that is not satisfactory;
address,/v/,/əˈdres/,(n) địa chỉ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456828/anki_600/c9lsvhabjq6u4jq158u8.jpg,"the number of the house, name of the road, and name of the town where a person lives or works, and where letters can be sent; a formal speech; to speak or write to someone;  to give attention to or deal with a matter or problem;  to write a name or address on an envelope or parcel"
avoid,/v/,/əˈvɔɪd/,tránh,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456831/anki_600/uprepbqmwnq4ghezsam1.jpg,to stay away from someone or something; to prevent something from happening; to not allow yourself to do something
demonstrate,/v/,/ˈdemənstreɪt/,chứng minh,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456832/anki_600/fbikexpqsdkdjynisqon.gif,to show (how to do) something; explain; to show that something is true; prove:
develop,/v/,/dɪˈveləp/,phát triển,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456832/anki_600/ubsywwkrit4fl0f8gbql.jpg,"to grow or change into a more advanced, larger, or stronger form;  to invent something or bring something into existence"
evaluate,/v/,/ɪˈvæljʊeɪt/,ước lượng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456833/anki_600/p75wv4xaxzp7nkbmbn4h.jpg,to determine the value or impact of
gather,/v/,/ˈɡæðə/,tập hợp lại,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456836/anki_600/ci0pbi7le7ksaj6gslln.jpg,"to come together in a group (people or animals);  to collect or obtain things, esp. from different places; to understand or believe something as a result of something that has been said or done"
offer,/v/,/ˈɒfə/,đưa ra đề nghị,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456837/anki_600/cdmvfd9flvzsp10xdj31.jpg,to ask someone if they would like to have something or if they would like you to do something; to provide or supply something
primarily,/adv/,/prai'merəli/,trước hết,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456838/anki_600/gwlq1ffpcqxwfftly6vr.jpg,more important than anything else; happening first; mainly;
risk,/n/,/rɪsk/,sự rủi ro,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456839/anki_600/mlkl75grzbvcp0dw0x8g.jpg,the possibility of something bad happening
strategy,/n/,/ˈstrætədʒi/,&nbsp;chiến lược,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456840/anki_600/yvplgbqsnjfglvtoqptr.jpg,"a detailed plan for achieving success in situations such as war, politics, business, industry, or sport"
strong,/adj/,/strɒŋ/,mạnh khỏe,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456841/anki_600/uxxt2inengz69hpuzfj4.jpg,powerful; having great force; skilled or good at doing something
substitution,/n/,/,sự đổi,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456846/anki_600/h5nrwxjwjmfg4feq4nrc.png,"the act of using someone or something instead of another person or thing, or the person or thing used;"
conference,/n/,/ˈkɑn·fər·əns,hội nghị,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456853/anki_600/mya526z4vtb98yq6dae6.jpg,"a large, formal meeting at which there are groups of talks on a particular subject; a small, private meeting for discussion of a particular matter"
accommodate,/v/,/əˈkɒmədeɪt/,đáp ứng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456856/anki_600/f8ujdsutqynvqjharnmi.jpg,to give what is needed to someone; to provide space or a place for a group
arrangement,/n/,/əˈreɪndʒmənt/,sự sắp xếp,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456858/anki_600/lonp9yqa0i7xti4nlgue.jpg,a particular way in which things are put together or placed; a plan or preparation for something
association,/n/,/əˌsəʊʃiˈeɪʃn̩/,hiệp hội,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456859/anki_600/ouijyrxefgw2szyxiomf.jpg,a group of people united in an organization because of their common interests; a friendship or partnership; a connection in the mind
attend,/v/,/əˈtend/,tham dự,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456860/anki_600/fkueudx1zardiiyj8bkb.jpg,to be at an event or go to a place; to pay attention to
get in touch,/v/,/ˈɡet ɪn tʌtʃ/,giữ liên lạc,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456861/anki_600/qe7macsi12itgx6xnalr.jpg,to make contact with
hold,/v/,/həʊld/,tổ chức,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456863/anki_600/sufypmgkrtu5icaaqfsv.jpg,to take and keep something in your hand; to accomodate; to organize or cause a meeting or social event to happen to keep control or possession of something;
location,/n/,/ləʊˈkeɪʃn̩/,vị trí,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456863/anki_600/d01xicwqzxboph0nbzmg.jpg,a particular place or position
overcrowded,/adj/,/ˌəʊvəˈkraʊdɪd/,kéo vào quá đông,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456865/anki_600/zwf0moyzozeqpufvsxld.jpg,containing too many people or things
register,/V/,/ˈredʒɪstə/,đăng ký,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456866/anki_600/apk2a7anialpvdblcj77.jpg,"to put information into an official list or record; to record, show, or express something"
select,/v/,/səˈlekt/,chọn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456867/anki_600/l2asvlhqhl2ei1zbzrpn.png,"verb : to choose something, or to make a choice; adj : the best of its type or highest in quality"
session,/n/,/ˈseʃn/,phiên họp,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456873/anki_600/vimrcir133g5fl5frdee.jpg,a formal meeting of an organization; the periods of time into which a teaching year is divided
take part in,/v/,/teɪk pɑːt ɪn/,tham gia,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456874/anki_600/aymmlzqefssvtyoybsiy.jpg,to join or participate
access,/noun + verb/,/ˈækses/,truy cập,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456876/anki_600/wulm3e0b5z8tvpaf6gjx.jpg,"noun : the method or way of approaching a place or person; noun : the opportunity or ability to use something verb : to get information, esp. when using a computer"
allocate,/V/,/ˈæləkeɪt/,sắp xếp,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456877/anki_600/if1mswthfohf9c8ndksi.jpg,"to give a particular amount of time, money.... to someone or something, so that it can be used in a particular way"
compatible,/adj/,/kəmˈpætəbl̩/,tương tác,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456878/anki_600/axme9g0wqhv6ghuy3m1s.jpg,able to exist or work with something else; being suitable or right for each other;
delete,/v/,/dɪˈliːt/,xóa,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456879/anki_600/xzc7cwaxonc8zfalrinf.jpg,to remove; to erase
display,/N/,/dɪˈspleɪ/,trưng bày,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456881/anki_600/dwgvvttgz3emlrlrgrmd.jpg,"to show something for people to see; to show words, pictures, etc. on a screen; to show a feeling"
duplicate,/v-adj-n/,/ˈdjuːplɪkeɪt/,bản sao,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456883/anki_600/mdoz5oqxruedxsgogdjv.jpg,verb : to make an exact copy of something; adj : being an exact copy of something; noun : an exact copy of something;
figure out,/V/,/ˈfɪɡə aʊt/,chỉ ra,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456885/anki_600/fp03s5zfaaq6pv8plkym.jpg,to show the solution to a problem after a lot of thought or work to calculate an amount;
ignore,/V/,/ɪɡˈnɔː/,bỏ qua,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456893/anki_600/ao7cdfh0illb5i3cmaej.jpg,to give no attention to something or someone
search,/v-n/,/sɜːtʃ/,tìm kiếm,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456895/anki_600/uzlpbxjyrmdtthkkgtxg.jpg,verb : to look for;  noun: investigation
shut down,/v/,/ʃʌt daʊn/,đóng lại,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456897/anki_600/ow8iktzsvpryoyvbfq77.gif,to turn off; to cease operation
warning,/n/,/'wɔ:niŋ/,<div>(sự/lời) cảnh báo,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456898/anki_600/x43ph1ta7wsdsylqxfoy.png,"something that makes you understand there is a possible danger or problem, especially one in the future;"
failure,/n/,/'feiljə/,hỏng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456899/anki_600/gn2jfu5qgocj6l5xnsw8.jpg,"the fact of someone or something not succeeding; the fact of not doing something that you must do or are expected to do; the fact of something not working, or stopping working as well as it should;"
affordable,/adj/,/əˈfɔːdəbl̩/,hợp lý,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456902/anki_600/oygyquhx9ppzyuxycxp2.jpg,able to be paid for; not too expensive
as needed,/adv/,/əz ˈniːdɪd/,cần thiết,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456903/anki_600/omu0illaf0ci09i0dwzj.jpg,as necessary
be in charge of,/v/,/bi ɪn tʃɑːdʒ ɒv/,có trách nhiệm,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456904/anki_600/kz4mszkmmyebqbgndc8w.jpg,to be in control or command of
capacity,/N/,/kəˈpæsɪti/,sức chứa,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456905/anki_600/f4pitfpakfxx2xdj8wue.jpg,the ability to contain or hold; the maximum that something can hold
durable,/Adj/,/ˈdjʊərəbl̩/,lâu bền,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456914/anki_600/qrod5qpqg1kgo4x8fqa7.jpg,able to last a long time without being damaged
initiative,/adj-n/,/ɪˈnɪʃətɪv/,<div>(adj): bắt đầu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456917/anki_600/lk1gzaipyjpxluhhtqei.gif,"ability to take action, new beginning; an active role"
initiate,/v/,/ɪˈnɪʃɪeɪt/,bắt đầu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456925/anki_600/ro1uplruhxsfpezjtr2n.jpg,to cause something to begin:
physically,/adv/,/'fizikli:/,<div>về thân thể/cơ thể/thể chất; theo quy luật tự nhiên,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456926/anki_600/mmvjxpfm0pfcbq71tzxd.jpg,in a way that relates to the body or someone's appearance; in a way that relates to things you can see or touch or the laws of nature;
provider,/N/,/prəˈvaɪdə/,nhà cung cấp,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456927/anki_600/jei9kjq2hk2uoitw0gzq.jpg,a supplier; a company or organization that sells a particular type of product or service;
recur,/v/,/rɪˈkɜː/,tái diễn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456928/anki_600/fkfeakxwkcqpntxlpbv9.jpg,to happen many times or to happen again;
reduction,/n/,/rɪˈdʌkʃn̩/,sự thu nhỏ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456930/anki_600/ea1umbvemdahsvr9i0lh.jpg,"the act of making something (or the act of something becoming) smaller in size, amount, degree, importance, etc;"
stay on top of,/v/,/steɪ ɒn tɒp ɒv/,nắm được,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456943/anki_600/kyrsybylw1owtajd88gk.jpg,to know what is going on; to know the latest information
stock,/v-n/,/stɒk/,dự trữ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456951/anki_600/u8ch2fbgu9bbnpkjmbtp.jpg,"v., to keep on hand; n., a supply"
appreciate,/V/,/əˈpriːʃieɪt/,đánh giá cao,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456952/anki_600/kidyzpvsv6zzzfhu85j5.jpg,to be grateful for something; to understand that something is valuable; to increase in value;
expose,/v/,/bi ɪkˈspəʊzd tuː/,phơi bày,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456954/anki_600/nuqgsnno5arkyl6qdnt3.jpg,to make something covered or hidden able to be seen; to create conditions to learn or experience new things
bring in,/v/,/brɪŋ ɪn/,thuê,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456958/anki_600/ifburrilknm2yr3cbg4k.jpg,to hire or recruit; to cause to appear
casual,/adj/,/ˈkæʒʊəl/,không trịnh trọng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456959/anki_600/f5p3b9hxz2jmnlht1jsw.jpg,not formal; relaxed in style or manner
code,/N/,/kəʊd/,bộ luật,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456960/anki_600/jmio9t499wvepsse5vpe.gif,rules for the way people should behave; a system for representing information with signs or symbols that are not ordinary language
glimpse,/N/,/ɡlɪmps/,lướt qua,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456960/anki_600/qpqzrybef1jhac8demdw.jpg,a brief look at someone or something
made of,/V/,/ˈmeɪd ɒv/,tạo nên,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456962/anki_600/iaeunzxgsamtaeanf6ud.jpg,to consist of
out of,/prep/,/aʊt ɒv/,hết,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456962/anki_600/jknx7ys91aiwgoahe8ao.jpg,"no longer having, missing"
outdated,/adj /,/aʊtˈdeɪtɪd/,hết hạn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456963/anki_600/x0s4tcpudn81gncv5om5.png,obsolete; not currently in use
practice,/N/,/ˈpræktɪs/,tập luyện,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456964/anki_600/dysyakedocg4k7t2dp51.jpg,method of doing something; to repeat doing/playing something to be skillful.
reinforce,/V/,/ˌriːɪnˈfɔːs/,củng cố,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456967/anki_600/mplwizudomto0zbkhzvn.jpg,"to make something stronger, usually by adding more material or another piece"
verbally,/adv/,/'vɜ:bəli/,bằng miệng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456968/anki_600/jfvukz87gztezecwnmu9.jpg,using spoken rather than written communication;
disk,/N/,/dɪsk/,cái đĩa,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456971/anki_600/zlf0w521riy64dwagmpt.jpg,"a flat, circular object"
facilitate,/v/,/fəˈsɪlɪteɪt/,làm cho dễ dàng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456972/anki_600/mdfewkt3qwvuqeu8rwqh.jpg,to make something possible or easier
network,/n-v/,/ˈnetwɜːk/,(n): mạng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456981/anki_600/rvq0wu4fsa1ix4ahvp7m.jpg,"a group formed from parts that are connected together; to meet people who might be useful to know, especially in your job"
popularity,/N/,/ˌpɒpjʊˈlærɪti/,tính đại chúng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456988/anki_600/r1vce095y86hfyfd49lk.jpg,"the fact that something or someone is liked, enjoyed, or supported by many people"
process,/N/,/ˈprəʊses/,<div>(n): quá trình,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456992/anki_600/cghqvvzyqaflmdq70mg5.gif,to deal with something according to a particular set of actions; a series of actions or events performed to make something;
replace,/v/,/rɪˈpleɪs/,thay thế,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456994/anki_600/xpw8pexd7niue2ghxnu5.jpg,to put something or someone in the place of something or someone else; to put something back where it was before
revolution,/N/,/ˌrevəˈluːʃn̩/,cuộc cách mạng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456997/anki_600/ocrylws1lrvk3k6ec8x2.jpg,"a sudden and great change, esp. the violent change of a system of government; a movement in a circle."
sharp,/adj/,/ʃɑːp/,(adj): sắc,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456998/anki_600/tho4srggnnedesnmidue.jpg,easy to see or understand; sudden and immediately noticeable; intelligent or quick to notice things
skill,/N/,/skɪlz/,kỹ năng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753456999/anki_600/cx4uo1s56jmbxegilgvf.jpg,a special ability to do something
software,/N/,/ˈsɒftweə/,phần mềm,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457001/anki_600/voyk7trxxafjcglgdtoj.jpg,computer program
store,/v/,/stɔːr/,dự trữ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457012/anki_600/ywir39v8t9r5upjtqoyf.jpg,to put or keep things in a special place for use in the future
technical,/adj/,/ˈteknɪkl̩/,Kỹ thuật,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457014/anki_600/plor8mjhd5rc5wljhob2.jpg,"relating to the knowledge, machines, or methods used in science and industry"
assemble,/V/,/əˈsembl̩/,thu thập,,to put together the parts of something; to bring or come together in a single group or place
beforehand,/Adv/,/bɪˈfɔːhænd/,sớm,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457019/anki_600/romvewl7csfzpow7fhld.jpg,earlier (than a particular time); in advance;in anticipation
complicated,/adj/,/ˈkɒmplɪkeɪtɪd/,phức tạp,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457021/anki_600/yyglvd1et38bmstdlgqx.jpg,not simple; not easy to understand;
courier,/N/,/ˈkʊrɪə/,người chuyển phát,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457022/anki_600/wnby8uktkwdavzkeaoew.jpg,"a messenger, an official delivery person"
express,/v/,/ɪkˈspres/,(gửi) nhanh,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457024/anki_600/nr1yycqdipezz1jimjah.jpg,"moving or being sent very fast to show a feeling, opinion, or fact"
fold,/V/,/fəʊld/,phủ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457025/anki_600/v6lkwpgqk5jkzqqvwvv7.jpg,to bend something such as paper or cloth so that one part of it lies on the other part; to close because of failure
layout,/N/,/ˈleɪaʊt/,sự bố trí,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457027/anki_600/juuuj4kadmtptgokpazm.jpg,the way something is designed or arranged
